,Pts,FPI
1019,6.0,7.4
1020,28.0,6.8
1021,23.0,6.8
1022,28.0,6.8
1023,10.0,6.8
1024,22.0,6.8
1025,31.0,2.7
1026,10.0,2.7
1027,20.0,2.7
1028,20.0,2.7
1029,10.0,2.7
1030,6.0,2.7
1031,7.0,2.7
1032,27.0,2.2
1033,17.0,2.2
1034,29.0,2.2
1035,17.0,2.2
1036,17.0,2.2
1037,17.0,2.2
1038,24.0,2.2
1039,23.0,2.2
1040,0.0,2.2
1041,17.0,2.2
1042,13.0,-8.5
1043,3.0,-8.5
1044,17.0,-8.5
1045,12.0,-8.5
1046,6.0,-8.5
1047,12.0,-8.5
1048,38.0,-8.5
1049,22.0,-8.5
1050,10.0,-8.5
1051,17.0,-8.5
1052,10.0,-8.5
1053,22.0,-8.5
1054,9.0,-1.6
1055,17.0,-1.6
1056,21.0,-1.6
1057,17.0,-1.6
1058,24.0,-1.6
1059,10.0,-1.6
1060,20.0,-1.6
1061,27.0,-1.6
1062,19.0,-1.6
1063,33.0,6.9
1064,20.0,6.9
1065,10.0,6.9
1066,10.0,6.9
1067,10.0,6.9
1068,19.0,-1.0
1069,13.0,-1.0
1070,17.0,-1.0
1071,10.0,-1.0
1072,17.0,-1.0
1073,16.0,-1.0
1074,6.0,-1.0
1075,12.0,-5.7
1076,3.0,-5.7
1077,20.0,-5.7
1078,26.0,-5.7
1079,10.0,-5.7
1080,6.0,-5.7
1081,11.0,-5.7
1082,13.0,-5.7
1083,12.0,-5.7
1084,27.0,-5.7
1085,20.0,0.5
1086,20.0,0.5
1087,10.0,0.5
1088,17.0,0.5
1089,21.0,0.5
1090,10.0,0.5
1091,24.0,0.5
1092,17.0,0.5
1093,17.0,0.5
1094,13.0,0.5
1095,20.0,0.5
1096,32.0,1.2
1097,10.0,1.2
1098,12.0,1.2
1099,20.0,1.2
1100,10.0,1.2
1101,18.0,1.2
1102,22.0,1.2
1103,24.0,1.2
1104,33.0,1.2
1105,24.0,12.2
1106,32.0,12.2
1107,24.0,12.2
1108,13.0,12.2
1109,24.0,-3.7
1110,21.0,-3.7
1111,14.0,-3.7
1112,10.0,-3.7
1113,9.0,-3.7
1114,24.0,-3.7
1115,16.0,-3.7
1116,15.0,-3.7
1117,3.0,-3.7
1118,17.0,0.3
1119,17.0,0.3
1120,24.0,0.3
1121,7.0,0.3
1122,24.0,0.3
1123,35.0,0.3
1124,20.0,0.3
1125,24.0,0.3
1126,12.0,0.3
1127,22.0,7.5
1128,13.0,7.5
1129,16.0,7.5
1130,20.0,7.5
1131,24.0,7.5
1132,21.0,4.7
1133,24.0,4.7
1134,7.0,4.7
1135,28.0,4.7
1136,17.0,4.7
1137,7.0,4.7
1138,20.0,4.7
1139,0.0,4.7
1140,20.0,1.9
1141,23.0,1.9
1142,34.0,1.9
1143,17.0,1.9
1144,24.0,1.9
1145,17.0,1.9
1146,22.0,1.9
1147,26.0,1.9
1148,31.0,1.9
1149,12.0,9.6
1150,28.0,9.6
1151,25.0,9.6
1152,13.0,-2.2
1153,28.0,-2.2
1154,3.0,-2.2
1155,13.0,-2.2
1156,15.0,-2.2
1157,13.0,-2.2
1158,13.0,-2.2
1159,24.0,-2.2
1160,19.0,-2.2
1161,23.0,-2.2
1162,14.0,2.4
1163,31.0,2.4
1164,7.0,2.4
1165,28.0,2.4
1166,23.0,2.4
1167,10.0,2.4
1168,24.0,2.4
1169,20.0,7.8
1170,46.0,7.8
1171,9.0,7.8
1172,9.0,7.8
1173,10.0,-8.7
1174,13.0,-8.7
1175,17.0,-8.7
1176,17.0,-8.7
1177,14.0,-8.7
1178,17.0,-8.7
1179,18.0,-8.7
1180,26.0,-8.7
1181,14.0,-8.7
1182,14.0,-8.7
1183,21.0,-8.7
1184,27.0,-8.7
1185,20.0,1.6
1186,9.0,1.6
1187,9.0,1.6
1188,10.0,1.6
1189,24.0,1.6
1190,10.0,1.6
1191,20.0,1.6
1192,31.0,1.6
1193,30.0,-5.6
1194,7.0,-5.6
1195,30.0,-5.6
1196,22.0,-5.6
1197,20.0,-5.6
1198,27.0,-5.6
1199,24.0,-5.6
1200,17.0,-5.6
1201,13.0,-5.6
1202,20.0,-5.6
1203,17.0,-5.6
1204,16.0,-5.6
1205,9.0,-9.9
1206,0.0,-9.9
1207,15.0,-9.9
1208,27.0,-9.9
1209,27.0,-9.9
1210,9.0,-9.9
1211,21.0,-9.9
1212,16.0,-9.9
1213,7.0,-9.9
1214,15.0,-9.9
1215,3.0,-9.9
1216,35.0,-9.9
1217,17.0,-9.9
1218,24.0,6.1
1219,24.0,6.1
1220,9.0,6.1
1221,15.0,6.1
1222,9.0,6.1
1223,10.0,6.1
1224,24.0,6.1
1225,22.0,6.1
1226,23.0,-3.5
1227,6.0,-3.5
1228,3.0,-3.5
1229,16.0,-3.5
1230,3.0,-3.5
1231,16.0,-3.5
1232,13.0,-3.5
1233,14.0,-3.5
1234,24.0,-3.5
1235,20.0,-8.0
1236,17.0,-8.0
1237,10.0,-8.0
1238,17.0,-8.0
1239,17.0,-8.0
1240,13.0,-8.0
1241,13.0,-8.0
1242,10.0,-8.0
1243,19.0,-8.0
1244,17.0,-8.0
1245,3.0,-8.0
1246,10.0,-8.0
1247,23.0,-8.0
1248,35.0,-8.0
1249,26.0,-3.8
1250,20.0,-3.8
1251,10.0,-3.8
1252,23.0,-3.8
1253,10.0,-3.8
1254,3.0,-3.8
1255,7.0,-3.8
1256,10.0,-3.8
1257,10.0,-3.3
1258,25.0,-3.3
1259,26.0,-3.3
1260,7.0,-3.3
1261,24.0,-3.3
1262,17.0,-3.3
1263,27.0,-3.3
1264,9.0,-3.3
1265,27.0,-3.3
1266,20.0,-3.3
1267,17.0,-3.3
1268,29.0,3.5
1269,7.0,3.5
1270,31.0,3.5
1271,6.0,3.5
1272,21.0,3.5
1273,40.0,3.5
1274,12.0,3.5
1275,24.0,7.5
1276,20.0,7.5
1277,17.0,7.5
1278,22.0,7.5
1279,30.0,6.2
1280,10.0,6.2
1281,23.0,6.2
1282,16.0,6.2
1283,10.0,6.2
1284,6.0,6.2
1285,19.0,6.2
1286,24.0,-7.0
