RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK,PAST SCHED,RANK,FUTURE SCHED,RANK
23,TEN,-0.132,14,-0.138,26,1-4,-0.125,27,-0.032,9,-0.040,25,6,2015,,,,,,,,,,,,,,,,
24,DAL,-0.145,24,-0.113,23,2-3,-0.061,21,0.068,22,-0.016,22,6,2015,,,,,,,,,,,,,,,,
25,NO,-0.161,26,-0.124,24,2-4,0.068,8,0.193,32,-0.036,23,6,2015,,,,,,,,,,,,,,,,
26,MIN,-0.203,21,-0.134,25,3-2,-0.153,29,0.054,19,0.004,18,6,2015,,,,,,,,,,,,,,,,
27,JAC,-0.221,25,-0.212,28,1-5,-0.062,22,0.098,27,-0.060,28,6,2015,,,,,,,,,,,,,,,,
28,TB,-0.246,27,-0.217,29,2-3,-0.227,31,0.014,15,-0.005,19,6,2015,,,,,,,,,,,,,,,,
29,DET,-0.250,28,-0.196,27,1-5,-0.113,26,0.122,29,-0.015,21,6,2015,,,,,,,,,,,,,,,,
30,CHI,-0.257,30,-0.219,31,2-4,-0.074,24,0.145,30,-0.038,24,6,2015,,,,,,,,,,,,,,,,
31,HOU,-0.259,31,-0.218,30,2-4,-0.102,25,0.070,23,-0.087,32,6,2015,,,,,,,,,,,,,,,,
32,SF,-0.363,32,-0.302,32,2-4,-0.130,28,0.191,31,-0.042,26,6,2015,,,,,,,,,,,,,,,,
1,NE,0.397,2,0.355,1,6-0,0.306,2,-0.007,11,0.084,1,7,2015,,,,,,,,,,,,,,,,
2,ARI,0.392,1,0.347,2,5-2,0.238,3,-0.174,4,-0.020,21,7,2015,,,,,,,,,,,,,,,,
3,GB,0.390,3,0.331,3,6-0,0.218,4,-0.144,7,0.029,9,7,2015,,,,,,,,,,,,,,,,
4,CIN,0.341,4,0.289,4,6-0,0.327,1,0.021,13,0.035,8,7,2015,,,,,,,,,,,,,,,,
5,NYJ,0.282,5,0.232,5,4-2,0.071,6,-0.276,2,-0.065,30,7,2015,,,,,,,,,,,,,,,,
6,SEA,0.177,9,0.182,6,3-4,0.027,15,-0.070,8,0.080,2,7,2015,,,,,,,,,,,,,,,,
7,CAR,0.162,10,0.126,7,6-0,0.047,9,-0.168,6,-0.052,28,7,2015,,,,,,,,,,,,,,,,
8,PHI,0.128,7,0.122,8,3-4,-0.071,23,-0.190,3,0.009,14,7,2015,,,,,,,,,,,,,,,,
